,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,openstack/cinder,folsom-3,2012-08-17,BUG,356.0,242899.0,1.0,124.0,3.0,910.0,0.0,2.0,140.0,6.0,1820.0,1.0
1,openstack/cinder,folsom-rc1,2012-09-18,BUG,361.0,247758.0,29.0,107.0,68.0,1212.0,0.0,62.0,249.0,118.0,1736.0,8.0
2,openstack/cinder,folsom-rc2,2012-09-25,BUG,362.0,247887.0,3.0,10.0,9.0,151.0,0.0,,,,,
3,openstack/cinder,folsom-rc3,2012-09-26,BUG,362.0,247886.0,3.0,2.0,3.0,18.0,0.0,3.0,5.0,,0.0,1.0
4,openstack/cinder,2012.2,2012-09-27,,,,,,,,,,,,,
5,openstack/cinder,grizzly-1,2012-11-23,BUG,426.0,254284.0,9.0,115.0,12.0,169.0,0.0,19.0,141.0,19.0,368.0,4.0
6,openstack/cinder,2012.2.1,2012-11-29,BUG,362.0,247975.0,6.0,21.0,12.0,169.0,0.0,3.0,34.0,,0.0,1.0
7,openstack/cinder,grizzly-2,2013-01-10,BUG,469.0,261632.0,9.0,192.0,12.0,169.0,0.0,19.0,218.0,19.0,368.0,4.0
8,openstack/cinder,2012.2.3,2013-01-31,BUG,362.0,247983.0,6.0,25.0,12.0,169.0,0.0,3.0,41.0,,0.0,1.0
9,openstack/cinder,2013.1.g3,2013-02-21,BUG,517.0,279026.0,32.0,372.0,48.0,457.0,0.0,79.0,519.0,115.0,1154.0,12.0
10,openstack/cinder,2013.1.rc1,2013-03-15,BUG,486.0,248484.0,30.0,50.0,25.0,792.0,0.0,70.0,113.0,31.0,968.0,9.0
11,openstack/cinder,2013.1.rc2,2013-03-25,BUG,487.0,248686.0,9.0,25.0,6.0,131.0,0.0,27.0,53.0,18.0,393.0,2.0
12,openstack/cinder,2013.1.rc3,2013-03-27,BUG,487.0,248848.0,2.0,4.0,9.0,244.0,0.0,5.0,10.0,25.0,726.0,2.0
13,openstack/cinder,2013.1,2013-04-04,,,,,,,,,,,,,
14,openstack/cinder,2012.2.4,2013-04-11,BUG,362.0,248127.0,9.0,42.0,16.0,215.0,0.0,12.0,74.0,12.0,138.0,2.0
15,openstack/cinder,2013.1.1,2013-05-10,BUG,486.0,248975.0,78.0,469.0,103.0,1816.0,0.0,196.0,731.0,234.0,3817.0,18.0
16,openstack/cinder,2013.2.b1,2013-05-30,BUG,516.0,234349.0,25.0,225.0,35.0,997.0,0.0,60.0,404.0,66.0,1458.0,9.0
17,openstack/cinder,2013.1.2,2013-06-06,BUG,491.0,249244.0,18.0,56.0,31.0,571.0,0.0,53.0,119.0,91.0,1707.0,3.0
18,openstack/cinder,2013.2.b2,2013-07-18,BUG,570.0,353195.0,78.0,548.0,212.0,3143.0,0.0,192.0,1145.0,504.0,4493.0,21.0
19,openstack/cinder,2013.1.3,2013-08-08,BUG,491.0,249362.0,30.0,73.0,39.0,807.0,0.0,87.0,159.0,111.0,2194.0,6.0
20,openstack/cinder,2013.2.b3,2013-09-06,BUG,636.0,464801.0,163.0,951.0,330.0,5572.0,0.0,388.0,2081.0,687.0,8140.0,28.0
