,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,fluent/fluentd,v0.9.1,2011-06-26,UPGRADE,41,3469,,,,,,,,,,,,,,,
1,fluent/fluentd,v0.9.2,2011-07-03,UPGRADE,42,3789,,,,,,,,,,,,,,,
2,fluent/fluentd,v0.9.3,2011-07-05,UPGRADE,42,3804,,,,,,,,,,,,,,,
3,fluent/fluentd,v0.9.4,2011-07-22,UPGRADE,43,4115,,,,,,,,,,,1.0,12.0,1.0,14.0,-1.0
4,fluent/fluentd,v0.9.5,2011-07-23,UPGRADE,45,4399,,,,,,,,,,,,,,,
5,fluent/fluentd,v0.9.7,2011-08-06,UPGRADE,44,4453,,,,,,,,,,,1.0,5.0,2.0,38.0,-1.0
6,fluent/fluentd,v0.9.6,2011-08-06,UPGRADE,45,4590,,,,,,,,,,,,,,,
7,fluent/fluentd,v0.9.8,2011-08-16,UPGRADE,44,4550,,,,,,,,,,,,,,,
8,fluent/fluentd,v0.9.9,2011-09-06,UPGRADE,44,4559,,,,,,,,,,,,,,,
9,fluent/fluentd,v0.9.10,2011-09-07,UPGRADE,44,4570,,,,,,,,,,,,,,,
10,fluent/fluentd,v0.9.11,2011-09-19,UPGRADE,45,4705,,,,,,,,,,,,,,,
11,fluent/fluentd,v0.9.12,2011-09-20,UPGRADE,44,4637,,,,,,,,,,,,,,,
12,fluent/fluentd,v0.9.13,2011-09-21,UPGRADE,44,4655,,,,,,,,,,,,,,,
13,fluent/fluentd,v0.9.14,2011-09-21,UPGRADE,44,4720,,,,,,,,,,,,,,,
14,fluent/fluentd,v0.9.15,2011-09-30,UPGRADE,44,4742,,,,,,,,,,,,,,,
15,fluent/fluentd,v0.9.16,2011-10-02,UPGRADE,44,4748,,,,,,,,,,,,,,,
16,fluent/fluentd,v0.9.17,2011-10-03,UPGRADE,44,4779,,,,,,,,,,,,,,,
17,fluent/fluentd,v0.9.18,2011-10-04,UPGRADE,44,4856,,,,,,,,,,,,,,,
18,fluent/fluentd,v0.9.19,2011-10-07,UPGRADE,51,5365,,,,,,,,,,,,,,,
19,fluent/fluentd,v0.9.20,2011-10-10,UPGRADE,51,5403,,,,,,,,,,,,,,,
20,fluent/fluentd,v0.9.21,2011-10-11,UPGRADE,52,5382,,,,,,,,,,,,,,,
21,fluent/fluentd,v0.10.1,2011-10-16,UPGRADE,60,6265,,,,,,,,,,,,,,,
22,fluent/fluentd,v0.10.0,2011-10-16,UPGRADE,61,6336,,,,,,,,,,,,,,,
23,fluent/fluentd,v0.10.2,2011-10-18,UPGRADE,60,6274,,,,,,,,,,,,,,,
24,fluent/fluentd,v0.10.3,2011-10-21,UPGRADE,60,6383,,,,,,,,,,,,,,,
25,fluent/fluentd,v0.10.4,2011-11-07,UPGRADE,60,6283,,,,,,,,,,,,,,,
26,fluent/fluentd,v0.10.5,2011-11-09,UPGRADE,70,7598,,,,,,,,,,,,,,,
27,fluent/fluentd,v0.10.6,2011-11-11,UPGRADE,70,7630,,,,,,,,,,,,,,,
28,fluent/fluentd,v0.10.7,2011-11-16,UPGRADE,69,8336,,,,,,,,,,,,,,,
29,fluent/fluentd,v0.10.8,2011-12-03,UPGRADE,71,9013,,,,,,,,,,,,,,,
30,fluent/fluentd,v0.10.9,2012-01-19,UPGRADE,71,9203,,,,,,,,,,,,,,,
31,fluent/fluentd,v0.10.10,2012-02-09,UPGRADE,71,9261,,,,,,,,,,,,,,,
32,fluent/fluentd,v0.10.11,2012-02-10,UPGRADE,71,9338,,,,,,,,,,,,,,,
33,fluent/fluentd,v0.10.12,2012-02-13,UPGRADE,71,9506,,,,,,,,,,,,,,,
34,fluent/fluentd,v0.10.13,2012-02-21,UPGRADE,71,9537,,,,,,,,,,,,,,,
35,fluent/fluentd,v0.10.14,2012-03-05,UPGRADE,75,9763,,,,,,,,,,,,,,,
36,fluent/fluentd,v0.10.15,2012-03-09,UPGRADE,75,9803,,,,,,,,,,,,,,,
37,fluent/fluentd,v0.10.16,2012-03-26,UPGRADE,78,10047,,,,,,,,,,,,,,,
38,fluent/fluentd,v0.10.17,2012-04-02,UPGRADE,76,10098,1.0,6.0,3.0,17.0,1.0,,,,,,,,,,
39,fluent/fluentd,v0.10.18,2012-04-13,UPGRADE,76,10105,,,,,,,,,,,,,,,
40,fluent/fluentd,v0.10.19,2012-04-17,UPGRADE,76,10141,,,,,,,,,,,,,,,
41,fluent/fluentd,v0.10.20,2012-04-27,UPGRADE,77,10310,,,,,,,,,,,,,,,
42,fluent/fluentd,v0.10.21,2012-05-01,UPGRADE,77,10385,,,,,,,,,,,,,,,
43,fluent/fluentd,v0.10.22,2012-05-02,UPGRADE,77,10424,,,,,,,,,,,,,,,
44,fluent/fluentd,v0.10.23,2012-06-25,UPGRADE,77,10510,,,,,,,,,,,,,,,
45,fluent/fluentd,v0.10.24,2012-06-28,UPGRADE,77,10580,,,,,,,,,,,,,,,
46,fluent/fluentd,v0.10.25,2012-07-23,UPGRADE,77,10765,,,,,,,,,,,,,,,
47,fluent/fluentd,v0.10.26,2012-09-26,UPGRADE,81,11108,,,,,,,,,,,,,,,
48,fluent/fluentd,v0.10.27,2012-10-11,UPGRADE,81,11132,,,,,,,,,,,,,,,
49,fluent/fluentd,v0.10.28,2012-10-31,UPGRADE,81,11147,,,,,,,,,,,,,,,
50,fluent/fluentd,v0.10.30,2012-12-06,UPGRADE,82,11062,,,,,,,,,,,,,,,
51,fluent/fluentd,v0.10.31,2013-01-31,UPGRADE,82,11148,,,,,,,,,,,,,,,
52,fluent/fluentd,v0.10.32,2013-03-04,UPGRADE,85,11449,,,,,,,,,,,,,,,
53,fluent/fluentd,v0.10.34,2013-06-03,UPGRADE,85,11801,,,,,,,,,,,,,,,
54,fluent/fluentd,v0.10.35,2013-06-12,UPGRADE,85,11856,,,,,,,,,,,,,,,
55,fluent/fluentd,v0.10.36,2013-07-31,UPGRADE,86,11827,,,,,,,,,,,,,,,
56,fluent/fluentd,v0.10.37,2013-08-29,UPGRADE,90,12129,,,,,,,,,,,,,,,
57,fluent/fluentd,v0.10.38,2013-08-30,UPGRADE,90,12131,,,,,,,,,,,,,,,
58,fluent/fluentd,v0.10.39,2013-09-18,UPGRADE,90,12476,,,,,,,,,,,,,,,
59,fluent/fluentd,v0.10.40,2013-11-08,UPGRADE,90,12509,,,,,,,,,,,,,,,
60,fluent/fluentd,v0.10.41,2013-12-05,UPGRADE,91,12575,,,,,,,,,,,,,,,
61,fluent/fluentd,v0.10.42,2013-12-26,UPGRADE,91,12839,,,,,,,,,,,,,,,
62,fluent/fluentd,v0.10.43,2014-02-03,UPGRADE,91,13083,,,,,,,,,,,,,,,
63,fluent/fluentd,v0.10.44,2014-02-26,UPGRADE,93,13242,,,,,,,,,,,,,,,
64,fluent/fluentd,v0.10.45,2014-03-28,UPGRADE,99,14376,,,,,,,,,,,,,,,
65,fluent/fluentd,v0.10.46,2014-04-22,UPGRADE,119,16601,,,,,,,,,,,,,,,
66,fluent/fluentd,v0.10.47,2014-05-15,UPGRADE,118,16850,,,,,,,,,,,,,,,
67,fluent/fluentd,v0.10.48,2014-05-18,UPGRADE,118,16848,,,,,,,,,,,,,,,
68,fluent/fluentd,v0.10.49,2014-06-05,UPGRADE,121,17597,,,,,,,,,,,,,,,
69,fluent/fluentd,v0.10.50,2014-06-17,UPGRADE,121,17910,,,,,,,,,,,,,,,
70,fluent/fluentd,v0.10.51,2014-07-04,UPGRADE,126,18594,,,,,,,,,,,,,,,
71,fluent/fluentd,v0.10.52,2014-07-15,UPGRADE,126,18737,,,,,,,,,,,,,,,
72,fluent/fluentd,v0.10.53,2014-08-21,UPGRADE,127,19081,,,,,,,,,,,,,,,
73,fluent/fluentd,v0.12.0.pre.1,2014-09-08,UPGRADE,141,19934,,,,,,,,,,,,,,,
74,fluent/fluentd,v0.10.54,2014-10-17,UPGRADE,127,19251,,,,,,,,,,,,,,,
75,fluent/fluentd,v0.10.55,2014-10-17,UPGRADE,127,19293,,,,,,,,,,,,,,,
76,fluent/fluentd,v0.10.56,2014-10-30,UPGRADE,128,19813,,,,,,,,,,,,,,,
77,fluent/fluentd,v0.12.0.pre.2,2014-10-31,UPGRADE,148,23247,,,,,,,,,,,,,,,
78,fluent/fluentd,v0.10.57,2014-11-12,UPGRADE,128,19842,,,,,,,,,,,,,,,
79,fluent/fluentd,v0.12.0.pre.3,2014-12-04,UPGRADE,156,24401,,,,,,,,,,,,,,,
80,fluent/fluentd,v0.12.0,2014-12-13,UPGRADE,156,24758,,,,,,,,,,,,,,,
81,fluent/fluentd,v0.10.58,2014-12-15,UPGRADE,132,20734,,,,,,,,,,,,,,,
82,fluent/fluentd,v0.12.1,2014-12-15,UPGRADE,156,24885,,,,,,,,,,,,,,,
83,fluent/fluentd,v0.12.2,2014-12-20,UPGRADE,157,25027,,,,,,,,,,,,,,,
