,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,jekyll/jekyll,v0.1.4,2008-12-08,,,,,,,,,,,,,
1,jekyll/jekyll,v0.1.5,2008-12-12,,,,,,,,,,,,,
2,jekyll/jekyll,v0.1.6,2008-12-13,,,,,,,,,,,,,
3,jekyll/jekyll,v0.2.0,2008-12-14,,,,,,,,,,,,,
4,jekyll/jekyll,v0.2.1,2008-12-15,,,,,,,,,,,,,
5,jekyll/jekyll,v0.3.0,2008-12-24,,,,,,,,,,,,,
6,jekyll/jekyll,v0.4.0,2009-02-03,,,,,,,,,,,,,
7,jekyll/jekyll,v0.4.1,2009-02-10,,,,,,,,,,,,,
8,jekyll/jekyll,v0.4.4,2009-02-16,,,,,,,,,,,,,
9,jekyll/jekyll,v0.4.5,2009-03-08,,,,,,,,,,,,,
10,jekyll/jekyll,v0.5.0,2009-04-07,,,,,,,,,,,,,
11,jekyll/jekyll,v0.5.1,2009-05-06,,,,,,,,,,,,,
12,jekyll/jekyll,v0.5.2,2009-06-24,,,,,,,,,,,,,
13,jekyll/jekyll,v0.5.4,2009-08-24,,,,,,,,,,,,,
14,jekyll/jekyll,v0.5.5,2010-01-08,,,,,,,,,,,,,
15,jekyll/jekyll,v0.5.6,2010-01-08,,,,,,,,,,,,,
16,jekyll/jekyll,v0.5.7,2010-01-12,,,,,,,,,,,,,
17,jekyll/jekyll,v0.6.0,2010-06-22,,,,,,,,,,,,,
18,jekyll/jekyll,v0.6.1,2010-06-23,,,,,,,,,,,,,
19,jekyll/jekyll,v0.6.2,2010-06-25,,,,,,,,,,,,,
20,jekyll/jekyll,v0.7.0,2010-08-24,,,,,,,,,,,,,
21,jekyll/jekyll,ruby-1.9.2,2010-08-30,,,,,,,,,,,,,
22,jekyll/jekyll,v0.8.0,2010-11-22,,,,,,,,,,,,,
23,jekyll/jekyll,v0.9.0,2010-12-15,,,,,,,,,,,,,
24,jekyll/jekyll,v0.10.0,2010-12-16,,,,,,,,,,,,,
25,jekyll/jekyll,v0.11.0,2011-07-10,,,,,,,,,,,,,
26,jekyll/jekyll,v0.11.1,2011-12-27,,,,,,,,,,,,,
27,jekyll/jekyll,v0.11.2,2011-12-27,,,,,,,,,,,,,
28,jekyll/jekyll,v0.12.0,2012-12-22,,,,,,,,,,,,,
29,jekyll/jekyll,v0.12.1,2013-02-19,,,,,,,,,,,,,
30,jekyll/jekyll,v1.0.0.beta1,2013-03-14,,,,,,,,,,,,,
31,jekyll/jekyll,v1.0.0.beta2,2013-03-19,,,,,,,,,,,,,
32,jekyll/jekyll,v1.0.0.beta3,2013-04-04,,,,,,,,,,,,,
33,jekyll/jekyll,v1.0.0.beta4,2013-04-09,,,,,,,,,,,,,
34,jekyll/jekyll,v1.0.0.rc1,2013-04-16,,,,,,,,,,,,,
35,jekyll/jekyll,v1.0.0,2013-05-06,,,,,,,,,,,,,
36,jekyll/jekyll,v1.0.1,2013-05-08,,,,,,,,,,,,,
37,jekyll/jekyll,v1.0.2,2013-05-12,,,,,,,,,,,,,
38,jekyll/jekyll,v1.0.3,2013-06-07,,,,,,,,,,,,,
39,jekyll/jekyll,v1.1.0,2013-07-14,,,,,,,,,,,,,
40,jekyll/jekyll,v1.1.1,2013-07-24,,,,,,,,,,,,,
41,jekyll/jekyll,v1.0.4,2013-07-25,,,,,,,,,,,,,
42,jekyll/jekyll,v1.1.2,2013-07-25,,,,,,,,,,,,,
43,jekyll/jekyll,v1.2.0,2013-09-06,,,,,,,,,,,,,
44,jekyll/jekyll,v1.2.1,2013-09-14,,,,,,,,,,,,,
45,jekyll/jekyll,v1.3.0.rc,2013-10-29,,,,,,,,,,,,,
46,jekyll/jekyll,v1.3.0,2013-11-04,,,,,,,,,,,,,
47,jekyll/jekyll,v1.3.1,2013-11-26,,,,,,,,,,,,,
48,jekyll/jekyll,v1.4.0,2013-12-07,,,,,,,,,,,,,
49,jekyll/jekyll,v1.4.1,2013-12-09,,,,,,,,,,,,,
50,jekyll/jekyll,v1.4.2,2013-12-16,TESTING,244.0,17198.0,1.0,8.0,1.0,37.0,1.0,,,,,
51,jekyll/jekyll,v1.4.3,2014-01-13,TESTING,248.0,17314.0,7.0,17.0,14.0,99.0,1.0,,,,,
52,jekyll/jekyll,v2.0.0.alpha.1,2014-02-13,TESTING,266.0,18729.0,10.0,381.0,10.0,93.0,2.0,,,,,
53,jekyll/jekyll,v1.5.0,2014-03-24,TESTING,249.0,17379.0,8.0,49.0,15.0,136.0,1.0,,,,,
54,jekyll/jekyll,v2.0.0.alpha.2,2014-03-26,TESTING,284.0,19464.0,23.0,625.0,37.0,324.0,2.0,,,,,
55,jekyll/jekyll,v1.5.1,2014-03-28,TESTING,251.0,17431.0,8.0,57.0,15.0,136.0,1.0,,,,,
56,jekyll/jekyll,v2.0.0.alpha.3,2014-04-14,TESTING,305.0,20656.0,25.0,760.0,41.0,339.0,3.0,,,,,
57,jekyll/jekyll,v2.0.0.rc1,2014-04-25,TESTING,310.0,21237.0,4.0,74.0,6.0,97.0,1.0,,,,,
58,jekyll/jekyll,v2.0.0,2014-05-06,,,,,,,,,,,,,
59,jekyll/jekyll,v2.0.1,2014-05-06,,,,,,,,,,,,,
60,jekyll/jekyll,v2.0.2,2014-05-06,,,,,,,,,,,,,
61,jekyll/jekyll,v2.0.3,2014-05-08,TESTING,318.0,22423.0,1.0,66.0,1.0,12.0,1.0,,,,,
62,jekyll/jekyll,v2.1.0,2014-06-28,TESTING,331.0,23490.0,17.0,275.0,24.0,443.0,4.0,3.0,275.0,6.0,205.0,2.0
63,jekyll/jekyll,v2.1.1,2014-07-10,TESTING,333.0,23601.0,2.0,30.0,3.0,15.0,2.0,1.0,30.0,3.0,15.0,1.0
64,jekyll/jekyll,v2.2.0,2014-07-29,TESTING,334.0,24056.0,3.0,88.0,4.0,74.0,1.0,,,,,
65,jekyll/jekyll,v2.3.0,2014-08-13,TESTING,343.0,25017.0,8.0,182.0,10.0,71.0,2.0,,,,,
66,jekyll/jekyll,v2.4.0,2014-09-09,TESTING,347.0,25433.0,8.0,131.0,12.0,172.0,3.0,,,,,
67,jekyll/jekyll,v2.5.0,2014-11-06,TESTING,357.0,26126.0,15.0,238.0,28.0,234.0,3.0,,,,,
68,jekyll/jekyll,v2.5.1,2014-11-09,,,,,,,,,,,,,
69,jekyll/jekyll,v2.5.2,2014-11-23,TESTING,361.0,26331.0,1.0,65.0,2.0,28.0,1.0,,,,,
70,jekyll/jekyll,v2.5.3,2014-12-22,TESTING,364.0,26578.0,2.0,60.0,2.0,69.0,1.0,2.0,61.0,2.0,132.0,1.0
71,jekyll/jekyll,v3.0.0.beta1,2015-01-24,TESTING,375.0,27516.0,15.0,248.0,28.0,491.0,5.0,,,,,
72,jekyll/jekyll,v3.0.0.beta2,2015-03-05,TESTING,382.0,28104.0,12.0,224.0,59.0,580.0,2.0,,,,,
73,jekyll/jekyll,v3.0.0.pre.beta2,2015-03-18,TESTING,381.0,28209.0,1.0,45.0,1.0,2.0,1.0,,,,,
74,jekyll/jekyll,v3.0.0.pre.beta3,2015-05-06,TESTING,389.0,28783.0,6.0,191.0,6.0,180.0,1.0,,,,,
75,jekyll/jekyll,v3.0.0.pre.beta4,2015-05-10,TESTING,392.0,29484.0,1.0,19.0,1.0,4.0,1.0,,,,,
76,jekyll/jekyll,v3.0.0.pre.beta5,2015-05-19,,,,,,,,,,,,,
77,jekyll/jekyll,v3.0.0.pre.beta6,2015-06-04,,,,,,,,,,,,,
78,jekyll/jekyll,v3.0.0.pre.beta7,2015-06-18,,,,,,,,,,,,,
79,jekyll/jekyll,v3.0.0.pre.beta8,2015-06-29,,,,,,,,,,,,,
80,jekyll/jekyll,v3.0.0.pre.beta9,2015-09-21,,,,,,,,,,,,,
81,jekyll/jekyll,v3.0.0.pre.beta10,2015-10-16,TESTING,399.0,31283.0,1.0,58.0,1.0,1.0,1.0,,,,,
82,jekyll/jekyll,v3.0.0.pre.rc1,2015-10-26,TESTING,398.0,30269.0,1.0,33.0,,0.0,1.0,,,,,
83,jekyll/jekyll,v3.0.0,2015-10-26,,,,,,,,,,,,,
84,jekyll/jekyll,v3.0.1,2015-11-17,TESTING,402.0,31024.0,2.0,66.0,4.0,40.0,2.0,,,,,
85,jekyll/jekyll,v3.1.0.pre.beta1,2015-12-27,TESTING,427.0,32467.0,6.0,199.0,10.0,82.0,2.0,1.0,199.0,4.0,54.0,1.0
86,jekyll/jekyll,v3.1.0.pre.rc1,2016-01-15,TESTING,432.0,32883.0,4.0,179.0,5.0,35.0,2.0,,,,,
87,jekyll/jekyll,v3.1.0.pre.rc2,2016-01-18,TESTING,432.0,33095.0,2.0,29.0,8.0,125.0,1.0,,,,,
88,jekyll/jekyll,v3.0.2,2016-01-20,,,,,,,,,,,,,
89,jekyll/jekyll,v3.1.0.pre.rc3,2016-01-22,TESTING,435.0,33228.0,12.0,440.0,23.0,251.0,2.0,1.0,440.0,4.0,54.0,1.0
90,jekyll/jekyll,v3.1.0,2016-01-24,,,,,,,,,,,,,
91,jekyll/jekyll,v3.1.1,2016-01-29,TESTING,440.0,33685.0,2.0,26.0,3.0,15.0,1.0,,,,,
92,jekyll/jekyll,v3.0.3,2016-02-08,TESTING,408.0,31258.0,2.0,22.0,7.0,55.0,1.0,,,,,
93,jekyll/jekyll,v3.1.2,2016-02-19,TESTING,446.0,33934.0,14.0,588.0,26.0,266.0,2.0,1.0,588.0,4.0,54.0,1.0
94,jekyll/jekyll,v3.0.4,2016-04-18,TESTING,408.0,31371.0,6.0,36.0,11.0,143.0,1.0,,,,,
95,jekyll/jekyll,v3.1.3,2016-04-18,TESTING,446.0,33955.0,16.0,595.0,28.0,288.0,2.0,1.0,595.0,4.0,54.0,1.0
96,jekyll/jekyll,v3.0.5,2016-04-26,TESTING,408.0,31423.0,6.0,40.0,11.0,143.0,1.0,,,,,
97,jekyll/jekyll,v3.1.4,2016-05-18,TESTING,448.0,34216.0,19.0,629.0,31.0,355.0,2.0,1.0,629.0,4.0,54.0,1.0
98,jekyll/jekyll,v3.1.5,2016-05-18,,,,,,,,,,,,,
99,jekyll/jekyll,v3.1.6,2016-05-19,,,,,,,,,,,,,
